window,datetime,instrument,score,execution_forward_return,entity,sector
2026H2_PARTIAL,2026-07-15,000001,-0.113172166,0.07799435127,平安银行,Financials
2026H2_PARTIAL,2026-07-15,000063,-0.05385011807,-0.157388693,中兴通讯,Technology
2026H2_PARTIAL,2026-07-15,000100,0.01985149831,-0.0522088811,TCL科技,Technology
2026H2_PARTIAL,2026-07-15,000333,-0.1610271782,0.08740823508,美的集团,Consumer Discretionary
2026H2_PARTIAL,2026-07-15,000338,0.09636115283,0.01169131874,潍柴动力,Industrials
2026H2_PARTIAL,2026-07-15,000408,-0.1687362939,0.1290322964,藏格矿业,Materials
2026H2_PARTIAL,2026-07-15,000425,-0.2035500854,0.08500581944,徐工机械,Industrials
2026H2_PARTIAL,2026-07-15,000538,0.04412540421,0.01228169991,云南白药,Health Care
2026H2_PARTIAL,2026-07-15,000568,-0.2100715637,0.07555239472,泸州老窖,Consumer Staples
2026H2_PARTIAL,2026-07-15,000596,-0.08435634524,0.06156839076,古井贡酒,Consumer Staples
2026H2_PARTIAL,2026-07-15,000651,-0.1017378941,0.06628167884,格力电器,Consumer Discretionary
2026H2_PARTIAL,2026-07-15,000661,-0.1119146198,0.05991566073,长春高新,Health Care
2026H2_PARTIAL,2026-07-15,000725,0.02706027403,-0.1140495926,京东方A,Technology
2026H2_PARTIAL,2026-07-15,000768,-0.3012857139,0.05326630584,中航西飞,Industrials
2026H2_PARTIAL,2026-07-15,000858,-0.2636106312,0.06305813175,五粮液,Consumer Staples
2026H2_PARTIAL,2026-07-15,000895,-0.168023929,0.1004098689,双汇发展,Consumer Staples
2026H2_PARTIAL,2026-07-15,000938,0.4789097607,-0.1293081539,紫光股份,Technology
2026H2_PARTIAL,2026-07-15,000963,-0.09902877361,-0.07728408586,华东医药,Health Care
2026H2_PARTIAL,2026-07-15,000977,0.353858918,-0.1872940961,浪潮信息,Technology
2026H2_PARTIAL,2026-07-15,000999,-0.1570268422,0.003095972261,华润三九,Health Care
2026H2_PARTIAL,2026-07-15,002001,-0.1638172716,0.06230424448,新和成,Materials
2026H2_PARTIAL,2026-07-15,002007,-0.160629034,-0.01317718208,华兰生物,Health Care
2026H2_PARTIAL,2026-07-15,002027,-0.2319488674,0.1019607825,分众传媒,Communication Services
